,customer_id,address,postcode,state,country,property_valuation,earnings
0,4,0 Holy Cross Court,4211,QLD,Australia,9,220.57
1,6,9 Oakridge Court,3216,VIC,Australia,9,3946.55
2,11,93405 Ludington Park,3044,VIC,Australia,8,3091.5600000000004
3,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,3540.03
4,13,2 Sutherland Street,3799,VIC,Australia,6,4337.38
5,16,52 Moland Street,3331,VIC,Australia,4,4521.839999999999
6,17,82391 Kensington Lane,3058,VIC,Australia,9,2015.61
7,25,28 5th Center,4413,QLD,Australia,3,5333.66
8,26,52 Carey Alley,4740,QLD,Australia,5,268.2399999999999
9,27,96 Texas Plaza,3218,VIC,Australia,7,3274.25
10,28,48 Eagan Avenue,4868,QLD,Australia,4,3366.5600000000004
11,29,9 Buell Park,4116,QLD,Australia,7,6175.299999999999
12,34,833 Luster Way,4005,QLD,Australia,8,4825.59
13,35,34 Russell Plaza,4127,QLD,Australia,6,3706.5099999999998
14,37,54 Sage Plaza,4726,QLD,Australia,1,6338.49
15,38,90 Lawn Parkway,4805,QLD,Australia,4,2025.34
16,41,7188 Cody Way,3350,VIC,Australia,9,4698.89
17,42,1 Claremont Park,3931,VIC,Australia,10,427.03999999999996
18,43,60 Eagan Circle,4018,QLD,Australia,8,3619.95
19,44,89314 Eagle Crest Center,4670,QLD,Australia,2,4768.28
20,46,70875 Hudson Point,3212,VIC,Australia,6,1623.6299999999997
21,48,22125 Ramsey Drive,3198,VIC,Australia,9,5561.08
22,51,4853 Gulseth Avenue,4503,QLD,Australia,5,4855.400000000001
23,53,62 Steensland Road,4350,QLD,Australia,3,2950.0699999999997
24,57,89787 Village Green Terrace,4280,QLD,Australia,6,5117.96
25,64,11474 Westend Hill,3752,VIC,Australia,8,546.6799999999998
26,68,486 Mariners Cove Plaza,3046,VIC,Australia,7,3842.5599999999995
27,69,0322 Dryden Court,3183,VIC,Australia,7,5294.75
28,72,29466 Hanson Pass,4208,QLD,Australia,6,2559.7799999999997
29,74,33055 Menomonie Parkway,4133,QLD,Australia,8,966.5200000000001
30,76,439 Ridgeway Court,4213,QLD,Australia,9,2868.16
31,77,2 Clyde Gallagher Lane,4170,QLD,Australia,5,1657.5800000000002
32,80,7 Jackson Point,3561,VIC,Australia,1,5988.86
33,82,2083 Spaight Court,3977,VIC,Australia,8,2924.37
34,92,3 Hintze Pass,3133,VIC,Australia,10,2967.4399999999996
35,93,2 Mcbride Road,3070,VIC,Australia,10,2976.41
36,95,72 Dorton Crossing,3133,VIC,Australia,10,3050.8099999999995
37,104,85688 New Castle Crossing,4171,QLD,Australia,10,3112.8000000000006
38,110,5 Moose Road,3977,VIC,Australia,8,2621.55
39,112,0 David Terrace,3204,VIC,Australia,11,5742.19
40,113,15239 Northwestern Point,4300,QLD,Australia,4,2329.4900000000002
41,115,8194 Sachtjen Drive,3844,VIC,Australia,1,3135.87
